0,1
 keh do ke ye sach hai😂😂😂🤫,0
 and i am on ch_air 😆😁 koi acha sa song apki pasand ka laga kar dedicate to all those sitting in there offices and had soo much to do and stil not doing anything 🙈🙈,0
tum log pappu mat bano kyunki sonia aur pawar ne tumnlogo ko pappu hi nahi kutta bana kar chhod diya hai..ab kai kai karte rahi; bhaunk toh sakte nahi 🤣🤣,1
" neither.  bhadwaa tantra, rather.  madarjaat loug.. shikhandi ke piichhe chhupp kar waar kar rahe haiin...😠😠😠😠",1
"bhok ku rha ha.., kutte k pille chal phut yaha se, verna tere  akhrot tod dunga 🤣🤣",1
kyon k yh kuch logo ki fitrat hai ,0
  tere kehne ka mtlb....me kamina hu.....😂😂😂😂.🤔🤔🤔🤔🤔🤔😝😝😝😝😝,0
dekh kitna khush ho rha h bc,1
leli randi ki leli 🤩🤣,1
bhai aisi democracy ka kyaa lena...haa udhar women ko freedom nahi par crime to kam hai..unki achi cheezen adopt karni chaahiye...buri cheezen chod do....,0
ye mader chod pti wale this is yahoodi qadoani group,1
"maderchood bhadva, chinese halala ki nazies aulad  suoor k becha  ðÿ–ðÿ–ðÿ–ðÿ–ðÿ–ðÿ–ðÿ–",1
 lagta hsi man chaha job nae de rahy bhai ko😜😜😜,0
 acha na batao.. mujhy pata hai..🙃,0
 i am a citizen of pakistani voted for you. please dont make me feel ashamed to call myself pakistani..  apko pakistan ki izat ka wasta please wuhan and near city xiachan mn phase pakistani students ko jld az jald wahan se nikalen.they are begging you.please,0
hijra hai bilawal,1
bhai kaha ho yar janoob ki pehchan kese krwa rhe ho ap esa lg rha hai k   sirf psl k time uthe gi 23 din reh gaye psl me or abhi tk koi pta ni k captain kon hoga. sponsor konse honge plzz bhai apni media teams ko active kren koi photoshoot hona chahiye,0
 yesh 😌 kon si mehnat ki thi mje bhi btao mje bhi karni hai😿😿,0
 kisi ne medicine mngwai thi wo pharmacy waly de ni rahy thy 😬 bs phir kbi ak pharmacy p to kbi dosri p :p,0
apny baap ki mehangai ka b zikar kar yahoodi khan k supporter,1
randi also meant widow to begin with. the meaning has changed over the years :(,0
randi olado tumne kab kab talvar chalai hai madorchod teri ma ki choot maru bosdike,1
rt : bharwe masjid mae hoon mae,1
raatein dengi bata neendo mein teri hi baat hai bhoolun kaisay tujhe tu toh khayalo mein sath hai💞,0
kal hoe na hoe,0
tum ab jaan jaan k cmnts na na kro 😂 aik cmnt py b bat hoskti hai,0
rundi ronaaa teraa,1
inshallah apko b mile ga but keep on doing what you are doing with commitment and dedication,0
 aisa nai hota bhai ...is gen ko mj jese hun-nihar teacher ki zarurat hai🙊😁,0
 sis rishta ki talsh ha suna tha ya besti b talsh krny sy ml jty kia🤔🤔🤔🤔,0
hayeee lala ko na dekhen tou sakoon nai ata kia bat  kr di ha...🥰😍💓,0
'crazy foodie' 😂😂😂😂 itna sach ,0
 😂😂 a b ni skhti nzr😂😂😂,0
 ab hr jga apny sath to mat rkho na humko🤦🏻‍♂️🤣🙏,0
video ke liye link open kary ,0
fake news hai mohtarmaa... phir thook k chatna paray ga apko,0
i think base is akhrot halwa and topping of gulab jaman it is sweet dish,0
😂😂😂 phir ab apke pass kia?,0
 lakh lanat tere ute kanjar da puter,1
psl 2020 kon jeetay ga?,0
mery pas ha jwab aor day bhe dia ha es bayghart kanjar kashmir frosh gandu lanti sazishi kanjar imran yahodi ki najaiz olad ko,1
sare amm tweets main bat kary gy to sab ko ptaa chaly ga naaa 😑😑🤦🤦😂,0
 aaaaa champli jyada bol mat,1
world war 3 horha hai bhenchod wahhh,1
pehly jo tary baap na diya ha extension wo saly ab jothy ho gye... tary baap nawaz shareef na b di thi ab tmhari ami nikal rahi ha,1
